管段编号,片区,巡检批次,检查时间,淤积深度,管径,备注
P001,A区,2024-Q1,2024-03-15,120,600,正常淤积
P001,A区,2024-Q2,2024-06-20,180,600,淤积有所增加
P001,A区,2024-Q3,2024-09-18,250,600,接近警戒线
P001,A区,2024-Q4,2024-12-10,380,600,需要清理
P001,A区,2025-Q1,2025-03-15,80,600,清淤后复检
P002,A区,2024-Q1,2024-03-16,80,500,正常
P002,A区,2024-Q2,2024-06-21,95,500,略有增加
P002,A区,2024-Q3,2024-09-19,110,500,持续观察
P002,A区,2024-Q4,2024-12-11,105,500,稳定
P002,A区,2025-Q1,2025-03-16,60,500,清淤后下降
P003,A区,2024-Q1,2024-03-17,200,800,中等淤积
P003,A区,2024-Q2,2024-06-22,320,800,增长较快
P003,A区,2024-Q3,2024-09-20,500,800,高风险
P003,A区,2024-Q4,2024-12-12,600,800,急需清淤
P003,A区,2025-Q1,2025-03-17,100,800,清淤后大幅下降
P004,A区,2024-Q1,2024-03-18,50,400,较轻
P004,A区,2024-Q2,2024-06-23,60,400,正常
P004,A区,2024-Q3,2024-09-21,55,400,稳定
P004,A区,2024-Q4,2024-12-13,70,400,轻微增加
P004,A区,2025-Q1,2025-03-18,45,400,轻微清淤
P005,A区,2024-Q1,2024-03-19,150,600,中度
P005,A区,2024-Q2,2024-06-24,220,600,增长明显
P005,A区,2024-Q4,2024-12-14,400,600,Q3未巡检
P005,A区,2025-Q1,2025-03-19,150,600,清淤后复检
P006,B区,2024-Q1,2024-03-20,90,450,正常
P006,B区,2024-Q2,2024-06-25,130,450,有所增加
P006,B区,2024-Q3,2024-09-22,200,450,接近警戒线
P006,B区,2024-Q4,2024-12-15,280,450,高风险
P006,B区,2025-Q1,2025-03-20,60,450,清淤后效果显著
P007,B区,2024-Q1,2024-03-21,60,500,较轻
P007,B区,2024-Q2,2024-06-26,75,500,正常
P007,B区,2024-Q3,2024-09-23,90,500,稳定
P007,B区,2024-Q4,2024-12-16,85,500,略有下降
P007,B区,2025-Q1,2025-03-21,70,500,持续稳定
P008,B区,2024-Q1,2024-03-22,180,700,中等
P008,B区,2024-Q2,2024-06-27,250,700,增长
P008,B区,2024-Q3,2024-09-24,350,700,较高
P008,B区,2024-Q4,2024-12-17,480,700,需清淤
P008,B区,2025-Q1,2025-03-22,120,700,清淤后大幅下降
P009,B区,2024-Q1,2024-03-23,100,550,正常
P009,B区,2024-Q2,2024-06-28,150,550,增加
P009,B区,2024-Q3,2024-09-25,210,550,中等
P009,B区,2024-Q4,2024-12-18,300,550,高风险
P009,B区,2025-Q1,2025-03-23,250,550,清淤效果不明显
P010,B区,2024-Q2,2024-06-29,80,400,Q1未接入
P010,B区,2024-Q3,2024-09-26,100,400,正常
P010,B区,2024-Q4,2024-12-19,130,400,略有增加
P010,B区,2025-Q1,2025-03-23,50,400,清淤后复检
P001,A区,2024-Q1,2024-03-15,130,600,重复记录测试
P011,A区,2024-Q2,2024-06-30,-20,500,负数淤积测试
P012,B区,2024-Q3,2024-09-27,600,500,淤积超管径测试
,B区,2024-Q4,2024-12-20,100,500,管段编号为空测试
P013,A区,,2024-06-15,80,500,批次为空测试
P014,A区,2024-Q3,无效日期,90,600,时间格式错误测试
P015,B区,2024-Q4,2024-12-21,abc,500,淤积深度非数字测试
P016,A区,2024-Q2,2024-06-15,100,xyz,管径非数字测试
